date,continent,country,total_cases,new_cases,total_deaths,new_deaths,total_tests,total_vaccinations,people_vaccinated,hosp_patients,population,median_age,gdp_per_capita,case_fatality_rate
01/09/2022,Asia,Canada,9180351.0,276,476616,773,77158320,74422453,54238735,17767,1342321935,22.06674202,23177.99664,5.191696918777942
09/03/2020,North America,India,103355.0,1999,219222,529,44856075,92680458,23463086,26467,256450043,40.90184883,45771.84322,212.10584877364425
04/11/2020,Europe,Italy,1262752.0,1227,189518,9,19231255,31035322,58601297,83222,689158028,30.85792627,19920.22313,15.008331010364664
03/31/2022,Europe,Russia,9784633.0,6337,183500,91,56292424,10137559,53440589,7118,435402720,22.34975957,61741.54158,1.8753897054697912
10/04/2021,North America,Brazil,5664789.0,3735,441110,138,40907614,85201857,52230692,63884,84799838,48.05094973,46624.75956,7.786874321356012
11/05/2020,North America,Usa,9695979.0,695,474365,480,46938182,98047161,62982543,11213,205589847,37.69574957,61049.20914,4.892388896469351
08/09/2020,South America,Japan,9305648.0,9501,268591,448,28463405,84209500,37874900,97021,979635778,42.60554023,28281.95846,2.886322371101937
08/03/2021,South America,Italy,5743066.0,4152,5499,332,89318449,40796132,40707264,81037,441103456,27.21156307,3344.974841,0.0957502490829811
06/21/2021,South America,Japan,6113790.0,7901,39041,868,47040823,14921354,59104827,8868,584731677,42.84622768,40753.65747,0.6385728001779584
06/04/2021,North America,Brazil,4721339.0,7470,293459,339,39708715,77487670,3644092,51716,1024330273,44.8542632,24404.35169,6.215588416760584
08/19/2020,Asia,Japan,9889550.0,7537,132371,960,90019549,51255826,58994813,94869,255053682,32.92488192,31924.99794,1.3384936625023385
07/28/2021,Europe,Canada,3275709.0,2841,382650,51,81283965,66675110,20502218,42523,24981085,37.15869418,47996.60476,11.68144056752294
07/27/2020,South America,Usa,84654.0,4208,498221,706,24999095,96615380,27991421,34028,1297298402,49.15617605,49345.86203,588.5380489994566
11/22/2022,South America,Canada,5147581.0,8733,136066,465,49791835,92946265,2906655,10545,603350619,45.40188925,2901.392626,2.643299833455753
12/11/2022,North America,India,1954354.0,1088,226486,717,31475949,69142485,32580085,357,1223996576,33.34550183,54081.88443,11.588790976455646
02/17/2022,Asia,Usa,8242680.0,3363,212235,798,40760705,82196746,14679442,21788,200974998,39.93721576,35052.80513,2.574830031009332
10/04/2020,Europe,France,2428388.0,24,257831,474,4529458,33403195,61778743,16802,8588889,43.5269443,39412.21536,10.617372512135622
06/13/2020,Europe,France,8916786.0,9764,400705,400,33013055,43005603,77454596,54739,401226423,20.72986462,21561.59878,4.493827708773094
02/01/2021,Asia,France,2663046.0,6144,353791,438,30901994,3719931,20791682,85875,880981256,37.6509796,30037.53123,13.285200480953014
04/24/2022,Asia,Japan,5499720.0,5668,294499,877,88214299,63452391,13235545,1593,1261284295,49.5358584,50015.88424,5.354799880721201
08/08/2020,Europe,Japan,6640913.0,4236,335949,604,12780593,55864616,38602710,4602,1276534692,48.41541949,54593.2524,5.058777309686183
07/20/2022,Asia,Japan,3416664.0,9959,330511,931,15256164,8053633,68949085,75113,1338276768,44.97321184,27710.3265,9.673500232975792
07/03/2022,Europe,Usa,3385659.0,8068,372050,996,13980901,13247416,36239687,95865,802650702,23.18642279,48687.10975,10.988998006001195
04/25/2022,Europe,India,3385357.0,2235,379553,921,84664230,20093843,21663516,10943,1381292912,49.82124358,18805.00162,11.211609292609317
04/24/2021,Asia,Usa,1465689.0,7295,339499,820,95593256,55080981,56162764,33012,798383278,38.28614459,58409.5639,23.163099402397098
02/09/2020,Asia,Canada,68148.0,8392,116220,656,16011986,60494207,28386618,70108,547021895,26.68724748,43077.18248,170.54058813171332
10/15/2022,Europe,India,1825665.0,8448,221421,597,83804897,68620390,20232216,16250,1390747028,40.22806069,54487.86961,12.128238203613478
11/07/2020,North America,Brazil,2745683.0,3747,349317,508,55805235,58270595,38786965,82169,533806271,45.69570686,33923.68481,12.72240823139452
06/15/2022,Europe,Russia,4056518.0,3175,264140,152,59492725,78494428,25106925,44053,294518216,23.36983283,16808.54066,6.511495819813939
03/02/2020,Asia,Uk,2669995.0,4897,251071,513,47915328,90509421,30982496,39388,754999347,47.4931443,30616.94682,9.403425849112077
10/18/2020,Europe,Japan,4997895.0,5037,306531,502,69431855,25759289,51509446,91707,1193230925,47.60612844,27322.49222,6.13320207807487
05/01/2021,Asia,Brazil,6397986.0,7427,3089,853,72572626,61869527,63997206,71405,924947098,20.40393219,23957.4415,0.04828081837003082
04/17/2022,North America,Uk,1870928.0,8605,360971,900,85563179,68140096,15676494,71507,746655699,47.00957365,15639.98859,19.293687410739484
12/13/2020,Asia,Brazil,4155299.0,2014,282803,771,18868867,56235479,56581473,49662,172126264,48.40453755,53382.53279,6.805839964825636
11/04/2021,Europe,France,6249859.0,1381,307322,675,45659566,28552761,67516956,61311,1128382679,21.13075391,6958.264631,4.917262933451778
07/09/2020,South America,France,2305413.0,1098,95965,5,47429722,64975517,19609231,79493,329969803,28.82498971,62241.70416,4.162594728146323
04/06/2022,Asia,Germany,3910197.0,3426,81268,499,93050144,49077323,36358620,71504,305672610,31.1932252,13076.70588,2.078360757782792
06/22/2020,Europe,Canada,5558019.0,3655,347186,660,42837195,81980434,12601174,86789,1367275230,30.46671416,68611.28198,6.246578142320133
05/30/2021,Asia,India,5414709.0,7938,368615,716,7124801,3463357,8019446,91477,856023354,42.77009712,69204.29532,6.807660393199338
08/17/2020,Asia,Italy,271836.0,9101,201798,117,87668956,41878265,28203531,56657,539654429,30.74313378,28488.70585,74.23520063567739
07/07/2022,North America,Uk,3584702.0,187,332255,484,1898465,76155239,44461793,73183,930739455,48.6973643,69159.65401,9.268692348764276
02/14/2021,Europe,Italy,7281369.0,5409,237103,600,22476701,96107370,38832899,25499,116580276,49.84977876,60965.72769,3.256296995798455
03/28/2020,Europe,Canada,2299435.0,2092,244754,665,21443986,23659381,32634451,31785,1199233616,29.50456612,6687.689109,10.644093005455687
11/12/2022,Europe,Usa,8585377.0,2130,165637,950,77569041,88833475,14210907,81993,944001477,35.2640226,66365.67089,1.9292920974815668
04/28/2020,Europe,Usa,2658505.0,5242,362579,678,30549432,58185806,28732421,74536,1281600558,36.73117521,3933.492627,13.638454695402116
04/18/2021,Europe,Canada,1271741.0,8549,89242,467,60037717,32803411,47685517,52030,183740433,37.3820849,13552.08627,7.017309342075155
04/09/2021,Europe,India,3769315.0,5647,375348,160,8537341,21189622,62041846,37909,342137851,31.22626983,41337.09232,9.957989714311486
03/08/2020,North America,Brazil,1046797.0,5185,153956,269,79527723,97617340,65763502,34894,908540194,24.97980506,6570.86531,14.70734058274909
05/11/2021,Asia,France,3047262.0,5776,279343,55,92570665,43178132,14872128,84124,928248346,21.63681625,12159.21523,9.167016160737083
09/03/2020,Europe,Usa,9973006.0,7913,60038,227,53056654,50026013,38237330,72006,1007564432,23.19045997,66790.93331,0.6020050524385526
04/04/2022,Asia,Brazil,564685.0,7547,57786,848,1120816,45998871,41866808,15473,224771402,47.03873713,69633.46406,10.23331591949494
01/02/2022,Asia,Japan,2879190.0,7823,371780,148,61449594,54745007,23165964,81697,1090657065,28.4112502,56071.42138,12.912659463251815
10/08/2020,Europe,Canada,5596411.0,7355,236042,45,66401143,91075638,3786997,20063,81366753,22.3046895,36549.44801,4.217738832977063
09/27/2020,Europe,Japan,9700344.0,6465,311438,143,5169949,26895998,46802774,78444,356301550,38.70589099,63120.76456,3.210587170929196
02/19/2022,Europe,Usa,1007293.0,1497,209087,749,54303831,47882983,29614873,11850,670181599,22.25921454,8721.015191,20.75731688793628
01/28/2022,North America,Usa,4774183.0,2555,165250,783,37527801,60501413,38158568,984,1111889144,22.10158819,66059.53898,3.461325215225307
05/31/2020,Europe,Brazil,3366612.0,5409,405881,631,88437118,94122434,5863077,50450,1182631661,38.64711518,25257.15199,12.056067049009508
11/18/2020,Asia,India,8411855.0,2951,262678,339,16773468,82814044,26735937,56700,952470317,37.74185733,60442.768,3.122711934525738
11/18/2021,Europe,Japan,5267180.0,1238,353972,412,98391612,31210908,40619545,72723,174358242,21.24431861,47117.76501,6.720332322039497
08/19/2020,Asia,Japan,7807313.0,9165,298276,731,69580814,23013769,31557757,93392,261531163,33.81433503,67258.92698,3.8204693471364606
04/15/2020,Europe,Russia,2704238.0,4727,377864,519,8790784,54418372,74550584,20339,1162933813,33.07304924,60662.7784,13.973030480305356
09/04/2021,Asia,Canada,2630708.0,3965,298254,343,1044423,84919626,68940286,38481,1120203221,36.40067389,62264.94914,11.337404227303068
09/18/2022,Europe,Italy,3494679.0,5686,189826,386,60574085,73124272,55309795,64351,546572077,42.13534131,44591.05057,5.4318579760830685
12/20/2020,South America,Italy,5517209.0,9242,325724,472,8316308,24095673,52036381,52839,1336342697,28.48400143,58487.93864,5.90378214782148
06/16/2021,Europe,Germany,1767640.0,3701,415685,274,52850274,5356465,78052230,64236,841036981,32.98340851,53242.0494,23.516383426489558
08/15/2021,Europe,Brazil,6723771.0,2780,326160,352,4610635,62118653,78368356,79619,1126115111,43.78228053,12151.99603,4.850849322500721
08/20/2020,Europe,France,1285160.0,7398,46233,65,63820058,97423351,54538621,48287,139912331,47.67669171,45753.1855,3.5974509010551214
02/21/2020,North America,Russia,6080526.0,1588,496020,78,86686025,5118036,61733079,60306,10806617,46.73968919,11224.11271,8.157517951571954
05/05/2021,Europe,France,5173036.0,2368,392007,597,19881139,78842639,42289693,52197,159560076,34.32892856,60992.47241,7.577890430300505
08/15/2020,Asia,Uk,1425472.0,5789,197780,635,63659241,65162829,19026525,25435,761019863,35.62597391,5550.536154,13.874702554662596
04/26/2022,Europe,France,48984.0,436,451448,201,9255404,54740692,79354126,67621,1255339819,35.87316326,69106.22024,921.6233872284828
07/21/2021,South America,Usa,6556168.0,2828,224522,977,28120485,48442159,67093527,30837,544456578,46.06146709,28643.23996,3.4245919262593634
05/12/2022,North America,Uk,1504384.0,1556,479653,661,40171675,55074558,48141063,81719,299538527,45.19818521,12773.42541,31.883681294137666
02/13/2020,Europe,Brazil,2230919.0,7570,106311,557,36693309,73807331,58405930,35495,279519283,29.34597586,65561.57387,4.765345581798353
12/17/2021,North America,Japan,6940119.0,7480,34409,112,4449388,41503936,35770707,98680,404302372,24.88549068,4134.39305,0.49579841498395055
01/29/2021,Europe,Canada,1737095.0,9496,246231,90,91257643,78566652,14049448,39760,5178038,31.36923684,33437.28878,14.174872416304233
09/01/2021,Europe,Japan,4780450.0,182,412540,140,94387428,46790421,67499822,22084,151193341,28.6521915,54145.67183,8.629731510631844
09/23/2021,Asia,France,7469344.0,7190,401954,288,14824516,4150926,6309401,37458,565607340,48.52342174,22855.7828,5.381382889849497
04/24/2021,Europe,Italy,2109818.0,6687,496246,900,33204861,45110515,36027863,51946,462795813,27.97747038,37489.59222,23.520796580558134
01/16/2020,Asia,France,2231785.0,5565,286198,729,28474481,5254162,71229060,66601,1044648650,25.43620045,49328.49813,12.823726299800384
11/12/2022,Europe,France,3853339.0,7241,29709,588,1595575,16155687,55285902,69218,1357143951,46.98437188,66686.37305,0.7709936758743521
12/13/2021,Asia,Uk,9467719.0,7651,109321,410,39701092,9500257,73555619,59351,1170042657,22.59435813,8086.48211,1.1546709402761108
11/28/2020,Asia,Brazil,996107.0,5575,478859,376,68842193,65690115,33535580,47561,832997193,27.80798154,11848.64256,48.07304837733295
07/29/2022,North America,Canada,7130144.0,1589,363,383,85282074,58962976,35041754,50203,264178572,33.17333582,36112.09177,0.005091061274498804
04/06/2021,North America,Usa,4545583.0,9779,272502,845,21292273,56033066,14756150,98024,631010427,37.85322134,29874.77232,5.994874584844232
06/29/2020,Europe,Germany,3747389.0,8851,494829,151,85433637,23383716,19856967,96996,244018503,29.83018689,29344.93509,13.204633946462458
10/24/2021,Europe,Japan,4142807.0,159,396456,834,57731160,37507521,52026427,8820,1388244486,34.88701991,21490.3437,9.56974341310131
04/21/2020,Europe,India,7988004.0,6555,465417,750,90972012,66095788,58527672,57232,1322965103,25.96493559,39687.2511,5.82644926066637
02/16/2021,Asia,France,6245035.0,9203,45689,626,95361377,92014416,79872990,18757,444953960,37.22822361,61946.8952,0.7316051871606805
11/12/2021,Europe,Usa,3602279.0,8244,264080,318,88855981,67438513,17369160,46588,1057203738,32.23450425,12103.7795,7.330914679290528
09/08/2022,Europe,Canada,5515989.0,6846,374416,368,96525478,6579060,2599392,88682,540309946,45.47779062,15854.75674,6.787830795166561
12/29/2021,Europe,Germany,2121690.0,2307,91074,605,63650207,23727749,52777272,8058,1214137919,32.472024,47286.82135,4.292521527650129
12/22/2021,Europe,Japan,491234.0,1228,175037,994,30882,55563635,7553975,88388,432676252,33.31446254,4877.638146,35.63210201248285
09/08/2022,South America,Uk,9909709.0,7226,208606,559,36230950,58328414,37304643,79654,608323891,37.76524968,47489.72977,2.105066859178206
06/19/2020,Europe,Canada,5401218.0,5590,882,702,95218006,56251714,64816068,36742,503771546,23.69510012,22697.47441,0.016329650090035248
11/05/2020,North America,Brazil,6914550.0,6919,413440,461,9676864,23011815,20762982,72195,596386175,24.7038553,25691.92127,5.979275585540635
05/03/2021,Asia,Brazil,6167294.0,5585,367371,11,98151586,54903234,39445174,56980,781397694,43.70713242,28982.90679,5.956761587821174
10/04/2021,North America,Uk,9286029.0,9227,254822,155,12758810,23060832,10717380,70377,289828503,28.20256337,25121.54174,2.744143917706912
11/11/2020,Asia,Usa,6906726.0,6046,125865,683,68508569,90322035,75574224,18335,618020460,40.54090787,59043.46387,1.822354035761662
05/22/2020,North America,Germany,5888794.0,4945,123745,476,48541668,77659066,25625984,47351,456282575,22.9228091,66278.72356,2.1013640483942893
01/14/2020,Europe,Brazil,7558158.0,7927,424041,938,39767147,61245332,2839025,85841,372308313,44.65539981,38812.7918,5.610374908807146
05/04/2021,Europe,Uk,6510425.0,7016,463956,400,40359759,74287423,2306955,68960,282781247,49.64684333,41149.61642,7.126355038265551
05/22/2022,South America,France,8511017.0,7758,28885,807,88704610,10116815,5942178,47501,1046248245,31.21072836,5863.334453,0.33938364827611084
10/14/2022,Europe,Italy,7887739.0,5086,171128,176,23712279,52623444,31694319,55877,938212830,35.16590306,50210.24306,2.1695444030285485
07/21/2021,North America,Uk,769598.0,9456,396419,340,50889479,49037559,42182225,14538,897220570,33.2813594,41302.82223,51.50987918367771
06/15/2022,Europe,Russia,5292895.0,7161,191313,56,59369823,55070127,79764425,3769,481255193,46.82563246,4477.222143,3.6145247544113386
05/10/2020,Europe,India,7971379.0,1884,395460,854,81819290,12050999,41983950,31586,922458702,20.29802113,14691.37103,4.960998592589814
11/23/2021,Asia,Japan,3331068.0,1809,360466,851,42773387,5792427,76756434,91983,1213043007,39.60377963,14934.09601,10.82133417870785
03/12/2020,Europe,Germany,3256415.0,3167,330763,447,5133869,38895244,38622689,85551,501286265,39.57104818,12796.78868,10.157274180348635
11/29/2022,North America,Germany,874371.0,6352,21584,202,92965205,84468355,62899564,67879,196743054,31.47155025,46446.57087,2.4685173684854598
05/08/2022,South America,Germany,5654237.0,9009,270665,696,8763127,67813854,66115736,68922,257854742,26.58000926,65062.33346,4.7869411911810555
03/27/2021,Europe,Brazil,973548.0,6056,181089,632,41037858,64768712,50604578,52219,84255787,27.19048044,53645.29745,18.600931849277078
01/04/2021,Europe,Usa,3344014.0,2437,295685,737,48706554,7025007,62501588,35107,796092803,44.01392364,33938.77048,8.842217765834711
04/12/2021,Europe,Canada,7064746.0,6468,29063,201,7112905,18268068,19441362,683,22145891,21.98309289,28879.53956,0.4113806780880728
09/06/2021,North America,India,9602083.0,9080,70268,329,97313216,73062196,34450861,90987,1369914036,36.91472439,27665.60927,0.7317995480772245
11/03/2021,Asia,Uk,6216204.0,5951,256306,362,61763654,57299300,79165066,66590,1360635023,29.20521809,42486.04008,4.123191581228673
11/24/2020,North America,Usa,5193542.0,5276,126218,891,13860696,95140247,42432700,61097,1144900846,27.95743437,25786.22547,2.4302874608504177
11/26/2022,South America,Italy,2959034.0,8859,380350,453,52363536,6523058,66923307,89131,574769172,35.17212997,16602.41601,12.853857035775865
12/04/2022,North America,India,4574293.0,7818,458168,355,1038904,69512616,11767690,63402,940156084,46.93584519,42596.16055,10.016148943672826
02/28/2020,South America,Russia,6706971.0,4728,224126,215,5635222,59889082,47463675,85934,854930576,38.54275757,27958.67353,3.3416873280054435
12/04/2021,South America,Canada,43585.0,2624,170635,971,83491406,55914407,34008282,23685,1151439810,43.65831883,1974.613211,391.49936904898476
05/02/2020,North America,Japan,2539448.0,5738,170824,554,83764253,75999026,23340719,65884,1118803147,38.02051338,2533.946836,6.726816221478053
10/01/2022,South America,France,109556.0,4232,226305,886,90275486,54913390,43211109,94426,291631338,40.9314734,19915.42617,206.56559202599584
09/01/2021,South America,Brazil,1575557.0,5793,395783,22,61931813,21726243,35383773,16362,851362468,32.97222946,36357.13177,25.120195587973015
12/13/2022,Asia,Russia,8306461.0,4523,409337,154,77081924,44988878,2059838,99326,340346501,47.77944906,25442.52603,4.927935013479266
10/13/2021,South America,Canada,2009021.0,5571,394890,185,31327650,99075692,79421362,90561,1166926832,35.05817061,2659.805515,19.6558423232012
09/12/2020,Asia,France,1201482.0,9010,76411,248,15177259,19870523,79609260,503,549017366,36.55324008,16397.4717,6.359729067934435
08/06/2021,Europe,Russia,542335.0,9298,109876,748,91529977,42825604,7104494,41045,51184792,35.7489651,7652.932299,20.259802520582294
10/30/2021,Europe,Germany,4270070.0,2224,459491,804,48928001,77695121,72016897,13576,1003022530,29.4856706,66455.60809,10.760736943422474
03/19/2021,Europe,France,6700379.0,8389,198153,133,75771215,24930683,12779294,33290,13919102,26.93715307,22585.55122,2.9573401743393917
08/28/2021,Asia,Uk,3560920.0,6091,160212,320,92610426,3555495,59684489,60495,569540445,22.21504892,2018.87964,4.499174370668254
03/22/2021,Europe,France,6860006.0,8662,140399,389,73877278,2211584,38482133,11884,827996960,41.54524946,46578.86439,2.0466308630050762
08/06/2022,Europe,Canada,2484413.0,6361,463879,433,13316702,49437970,40916718,51660,1333895068,28.6782579,17038.9079,18.671573526623796
07/30/2021,North America,Uk,2907360.0,1948,23331,21,56233827,24481878,60817376,25205,389921731,31.6759389,40104.8016,0.8024806009575697
12/30/2022,Europe,Japan,5895544.0,7094,23004,872,14933920,13787289,38354462,63739,604968333,47.59784488,11401.43637,0.3901930000013569
06/26/2020,North America,Japan,5697469.0,6318,238441,599,29645421,1493488,40242449,32785,1330913172,36.99342048,68896.91322,4.1850337404205264
03/26/2022,Europe,India,2235000.0,3796,381387,664,58586728,26087196,25951078,1268,743434630,22.91234192,67947.88387,17.064295302013424
11/24/2022,Asia,Italy,6908531.0,234,403708,124,74123247,36741434,21673601,66712,177139924,43.98835738,46262.85127,5.8436156688013705
02/15/2020,Europe,Russia,4322252.0,9120,448013,78,45231048,97556286,24997447,18016,990910144,27.68391797,49796.98091,10.36526792051921
05/19/2020,Asia,Germany,5822184.0,3607,189167,857,50529818,53902945,14142110,61939,1374420833,36.58117528,30385.6435,3.249072856508829
04/02/2020,Asia,Japan,402690.0,8043,406965,967,39169490,65577682,56968623,78281,461126225,35.29944425,67390.37483,101.06161066825598
07/29/2022,Europe,India,2548421.0,522,325361,50,38978876,61896637,56826747,77497,518019178,27.14236527,30238.03381,12.767160528028926
12/15/2021,Europe,Germany,1954109.0,5904,89044,727,4375296,85192239,39713156,49266,1048630923,23.47313104,17523.29182,4.556757069334413
02/17/2020,North America,Germany,4422880.0,4888,271189,175,29155998,31602493,24825990,41712,1106069901,26.33784819,8961.124063,6.1315025503744165
08/22/2022,North America,Usa,7205547.0,9821,282260,869,57832103,99645121,56525331,6768,341841000,22.92013399,15360.64572,3.9172598554974383
08/27/2020,Europe,Uk,8323735.0,5832,18667,252,7783634,6974203,15370459,59214,90958363,28.26884057,40482.73177,0.22426230532327135
12/21/2021,Asia,Russia,6457294.0,7122,337201,965,27875386,75860229,66214943,18972,433764268,49.91892532,17911.32854,5.222017148359669
10/10/2022,Europe,Canada,1384250.0,5842,74205,245,21768260,83499494,66868825,98625,340914007,32.06276796,46143.21056,5.360664619830232
10/15/2022,South America,Italy,61087.0,1316,27302,738,32470815,38185413,26752424,73162,304251735,45.91665174,27370.73187,44.69363367001162
05/16/2021,Asia,Russia,6409907.0,1124,404499,105,95504627,62339514,1090857,63412,450839874,36.47533076,62194.23047,6.310528374280626
02/24/2021,Europe,India,1496176.0,5621,162007,192,95547950,23375109,17905143,45281,114558457,39.99749238,39534.98666,10.828071029076792
03/24/2022,Asia,France,39353.0,5423,72534,315,73934328,52320798,53817300,28403,150320008,24.69043909,43959.67966,184.31631641806217
04/28/2021,Europe,Usa,6484531.0,2587,225414,301,95857572,13382760,39495340,94568,6506583,28.24417602,39402.62641,3.47618046702221
09/18/2021,Europe,Uk,3360011.0,9215,162696,547,86588513,68798439,73980260,30226,448572417,35.31330269,62104.24542,4.842127004941353
09/22/2021,Europe,Germany,7654909.0,5672,13440,953,76484451,86336311,61817232,49985,1208487862,46.43430303,5375.950187,0.17557360903963717
10/23/2021,Europe,Canada,4259622.0,1378,373145,715,90487793,16654773,73259903,28783,999681895,21.28664108,5647.060789,8.760049600645315
11/29/2022,Europe,Germany,4959617.0,3374,308645,933,84722438,64419796,53718574,73939,288665627,35.20759879,49420.0769,6.22316199012948
10/29/2020,North America,Brazil,5725570.0,1519,480549,778,43736877,56893608,38710237,95155,1261013960,21.53036638,53989.50924,8.393033357377519
11/17/2021,Europe,Russia,416880.0,5777,394485,267,85858552,3682027,27687620,68155,1118093996,33.70468029,30917.66986,94.62795048934946
05/19/2021,Europe,Italy,7072695.0,7935,270012,169,33057049,62955281,30598598,66883,1264128934,38.86604478,25309.05936,3.8176678055536115
11/25/2022,Europe,Canada,7433296.0,6093,161323,550,96674572,47967574,54445089,68700,1385653755,42.34169574,20178.20957,2.1702754740292867
02/16/2021,North America,Uk,4965050.0,8418,340053,454,84966309,93097189,10198781,79095,995640189,24.15596016,17173.24712,6.848934049002528
05/27/2021,South America,Uk,813168.0,5355,84523,650,51473089,1363990,50318257,27788,395957148,24.9972585,63925.14269,10.394285067784272
10/13/2022,Asia,India,225281.0,4968,169801,291,12013272,74488483,68072224,99214,23667901,34.10194765,21364.6287,75.37297863557069
12/21/2022,Europe,France,3782875.0,9083,15734,563,30011229,31370758,69593210,7166,1014643579,49.94109374,45717.43691,0.41592703961933714
08/24/2020,North America,Usa,2995765.0,5574,173501,798,17972663,73738492,66863130,35219,488958870,30.68140507,55309.53985,5.791542394012882
09/11/2022,Asia,Russia,7734102.0,4072,172409,800,33222319,21171473,70228463,65441,1319704492,32.82582282,2515.693913,2.229205148833051
09/13/2021,Asia,Japan,5595108.0,2257,433541,140,90427071,29141536,47866566,403,1122072200,32.97340228,3337.316342,7.748572502979388
08/31/2022,North America,Russia,5674719.0,8588,345744,145,85474996,53077026,23357815,75569,1355738809,22.42102464,23986.48092,6.092706969279008
01/29/2021,Europe,France,8658144.0,4424,455730,424,35789700,17418734,12453858,27224,724529568,43.22516436,49025.08636,5.263599219417002
05/14/2022,Europe,Usa,6609280.0,3237,270577,313,6443399,81208429,7552880,83610,452162297,27.59304573,18995.10583,4.093895250314708
08/17/2022,Europe,Germany,5500306.0,3893,140183,183,63135935,19862848,70210318,3485,196271491,41.11001171,1102.34704,2.548640021118825
08/07/2021,North America,Japan,4372093.0,2005,103986,663,19381303,99409876,63327058,74984,945769342,34.25269637,20882.2051,2.3784032041404424
11/16/2020,Asia,Usa,1561729.0,2016,325897,712,14570226,45895464,14505915,65491,922201594,38.35339227,7219.026348,20.86770496033563
11/01/2022,Europe,India,5031595.0,9388,113783,127,16275309,2443647,18450431,86208,77460625,21.61914909,16139.5181,2.2613704004396222
02/04/2022,Asia,Usa,5478047.0,1772,211655,286,12207970,33867115,709714,78946,1198226975,46.69897053,23990.11005,3.8636944881999002
02/12/2022,Europe,Germany,9070277.0,8353,466836,822,4962826,21474535,19940886,14262,341723229,27.31570308,9835.9575,5.146876991739061
10/11/2021,Europe,Canada,1119043.0,3976,283895,252,73746572,38434407,41872906,93296,566633816,40.10286163,49739.16619,25.369445141965052
08/03/2022,Europe,Russia,7103230.0,1751,147525,777,9673204,67806621,8390330,75370,786223288,43.94057336,18658.49601,2.076872070874799
12/07/2021,Asia,Brazil,2558231.0,8967,216916,699,33605324,89804069,69142131,97815,964602784,36.20116152,46615.54115,8.479140468550337
04/20/2021,Europe,Italy,6659908.0,7430,432184,385,90360129,5272098,7273990,27928,532095906,30.12002066,42333.26684,6.489338891768474
10/03/2020,Asia,India,3080389.0,7170,161149,229,21850453,97467565,32897385,63179,1040044713,49.33710123,62965.13865,5.231449664311878
11/18/2022,North America,Usa,1661909.0,6469,239654,270,8735143,88779877,4605914,86365,607974369,28.3531914,7067.388892,14.420404486647584
01/18/2022,Europe,Uk,2656138.0,9131,427991,770,40126952,34385731,19850431,88379,1383298241,48.45987011,15807.95968,16.113281764727585
11/26/2020,Europe,Japan,110078.0,3220,189216,810,6061297,93324580,8342038,34712,688483084,24.68672401,60697.3116,171.89265793346536
10/06/2021,North America,Canada,1915631.0,539,310714,414,76281531,93271240,15540537,85491,1264411764,31.67666395,57727.07049,16.21992962110135
05/21/2022,Europe,Germany,6314127.0,1461,177169,197,52555502,37198120,32305050,34328,411428694,24.15486752,14255.28345,2.805914420156579
05/31/2020,Europe,Brazil,9792712.0,5184,286647,322,46211871,11663415,10602119,31632,646445820,20.06721419,8433.784824,2.927146228746439
